"Competition Name","Season","Match Date","Home Team","Away Team","    ","Score Home","Score Away","    ","Score Home HT","Score Away HT","    ","Odds Home", "Odds Away"
"Top 14","2012/13","20.04.2013 11:30","Castres Olympique","Stade Montois","","44","17","","11","9","","None","40.0"
"Top 14","2012/13","20.04.2013 08:00","Clermont","Stade Toulousain","","39","17","","25","3","","0.125","4.5"
"Top 14","2012/13","14.04.2013 09:10","Toulon","Clermont","","26","26","","13","20","","0.142857142857","4.0"
"Top 14","2012/13","14.04.2013 07:15","Usap Perpignan","Biarritz","","33","28","","20","17","","0.25","3.0"
"Top 14","2012/13","13.04.2013 13:40","Stade Montois","Racing 92","","9","34","","6","20","","7.5","0.0909090909091"
"Top 14","2012/13","13.04.2013 13:40","Agen","Stade Francais","","20","28","","6","20","","7.5","0.0909090909091"
"Top 14","2012/13","13.04.2013 11:30","Bayonne","Grenoble FC","","31","24","","18","0","","0.125","4.5"
"Top 14","2012/13","13.04.2013 08:00","Montpellier Herault RC","Stade Toulousain","","10","8","","3","0","","1.1","0.714285714286"
"Top 14","2012/13","12.04.2013 13:50","Castres Olympique","Bordeaux Begles","","23","23","","13","10","","0.0","12.0"
"Top 14","2012/13","30.03.2013 14:40","Racing 92","Stade Toulousain","","26","27","","17","6","","0.5","1.625"
"Top 14","2012/13","30.03.2013 12:30","Bordeaux Begles","Bayonne","","39","13","","22","10","","0.285714285714","2.75"
"Top 14","2012/13","30.03.2013 12:30","Clermont","Agen","","66","21","","22","10","","0.285714285714","2.75"
"Top 14","2012/13","30.03.2013 12:30","Stade Montois","Montpellier Herault RC","","17","30","","10","23","","3.5","0.2"
"Top 14","2012/13","30.03.2013 12:30","Usap Perpignan","Castres Olympique","","20","21","","6","13","","0.3","2.5"
"Top 14","2012/13","30.03.2013 09:00","Stade Francais","Toulon","","11","43","","6","19","","2.4","0.333333333333"
"Top 14","2012/13","29.03.2013 13:00","Biarritz","Grenoble FC","","33","16","","12","10","","0.0909090909091","8.0"
"Top 14","2012/13","24.03.2013 15:00","Stade Toulousain","Stade Francais","","43","16","","10","9","","None","18.0"
"Top 14","2012/13","23.03.2013 14:50","Biarritz","Clermont","","32","28","","19","13","","0.8","1.0"
